,평균기온(℃),"최고기온(℃)
","최저기온(℃)
",일교차(℃),최저초상온도(℃),"상대습도(%) (관측)
",운량(할),일사(MJ/㎡),"일조(hr) (관측)
 ","평균풍속(km/h)

","최대풍향풍속(km/h)
","최대순간풍향풍속(km/h)
","증발량(mm)
","강수량(mm)
",지면온도(℃)
2000-08-11,27.4,33.7,23.0,10.7,22.6,75.0,4.8,21.98,8.4,8.3,21.2,40.3,5.0,,31.4
2000-08-12,27.9,33.2,23.0,10.7,21.9,75.0,4.8,25.16,11.9,10.1,27.7,44.3,5.0,,31.2
2000-08-13,28.3,33.4,24.2,9.2,23.8,69.6,6.4,22.87,9.8,10.4,23.8,33.5,7.2,3.7,33.3
2000-08-14,26.9,31.7,23.7,8.0,23.1,73.8,4.6,14.50,5.8,9,22,34.6,4.5,0.2,29.1
2000-08-15,27.5,33.1,21.8,11.3,21.5,71.5,4.1,23.21,10.2,8.3,,,,,
2000-08-16,27.4,33.5,24.8,8.7,24.0,75.8,7.5,13.68,2.3,14,,,,,
2000-08-17,28.0,33.9,24.1,9.8,23.2,72.6,7.0,18.04,4.7,10.1,,,,,
2000-08-18,27.3,32.3,24.1,8.2,23.2,73.3,7.6,13.37,2.4,16.6,,,,,
2000-08-19,25.6,30.4,22.9,7.5,22.7,81.9,9.1,12.66,2.6,14,,,,,
2000-08-20,23.5,25.0,22.0,3.0,20.9,91.3,9.8,3.34,0.0,12.6,,,,,
2001-08-11,23.9,26.2,22.4,3.8,21.2,65.0,9.1,8.81,0.2,14,21.6,32.3,3.5,0.0,25.4
2001-08-12,21.4,24.1,19.3,4.8,19.3,77.0,9.5,5.48,0.0,8.6,26.6,49.7,1.9,5.4,22.6
2001-08-13,24.2,29.4,19.9,9.5,19.4,77.9,8.0,16.10,4.1,16.2,32,49.3,3.6,22.7,25.8
2001-08-14,25.7,30.9,22.8,8.1,21.9,83.3,7.6,12.62,2.4,5,18,30.2,4.5,21.9,28.5
2001-08-15,26.1,29.8,23.6,6.2,22.6,82.6,7.3,10.11,1.4,4,11.9,18,2.0,0.1,27.8
2001-08-16,27.8,34.3,21.9,12.4,20.7,72.3,1.6,23.48,11.3,5.4,12.2,20.2,5.3,,28.8
2001-08-17,28.8,33.5,23.6,9.9,21.9,65.4,2.4,23.88,11.8,12.2,22,34.9,5.3,,31.2
2001-08-18,27.7,32.8,23.3,9.5,21.2,64.0,4.0,19.91,9.9,11.5,24.8,38.9,5.1,,29.8
2001-08-19,26.7,30.8,22.8,8.0,20.5,66.0,3.6,15.87,4.9,12.2,23.8,38.9,3.9,,28.7
2001-08-20,27.2,32.7,21.9,10.8,20.7,67.4,1.0,23.24,11.1,8.6,19.8,30.6,5.2,,32.5
2002-08-09,24.3,27.5,22.4,5.1,21.2,83.4,8.3,8.46,1.4,9,18.4,27,2.4,0.3,26.3
2002-08-10,22.2,24.9,20.8,4.1,20.1,87.8,9.5,4.64,0.0,7.2,18.7,29.9,1.9,24.5,24.2
2002-08-11,21.6,24.1,20.1,4.0,19.5,90.3,10.0,6.42,0.0,5,14.8,21.6,2.0,9.5,
2002-08-12,21.1,22.0,20.4,1.6,19.7,92.6,9.9,4.00,0.0,6.5,15.1,25.2,1.6,13.0,
2002-08-13,21.9,23.9,20.2,3.7,19.5,90.3,8.9,7.32,0.1,1.4,6.8,9.4,0.5,9.5,
2002-08-14,21.5,23.9,20.1,3.8,19.3,92.3,9.8,6.66,0.0,3.6,10.8,15.5,0.2,9.0,
2002-08-15,21.7,24.7,19.7,5.0,18.9,86.8,9.9,7.27,0.2,6.8,17.6,27,1.2,13.5,
2002-08-16,22.5,24.7,20.6,4.1,19.9,85.9,9.8,7.50,0.0,8.3,18.4,27.4,1.5,2.0,
